m,r,n=m^r,nc,diam,prob,E[k],E[OPT_post],E[OPT_adapt],E[OPT_apriori],E[OPT_post]/E[k],adapt/apost,apriori/apost
2,2,4,3,2,0.2,0.60,1.440000,1.440000,1.440000,2.4000,1.0000,1.0000
2,2,4,3,2,0.3,0.90,2.040000,2.040000,2.040000,2.2667,1.0000,1.0000
2,2,4,3,2,0.4,1.20,2.560000,2.560000,2.560000,2.1333,1.0000,1.0000
2,2,4,3,2,0.5,1.50,3.000000,3.000000,3.000000,2.0000,1.0000,1.0000
2,2,4,3,2,0.6,1.80,3.360000,3.360000,3.360000,1.8667,1.0000,1.0000
2,2,4,3,2,0.7,2.10,3.640000,3.640000,3.640000,1.7333,1.0000,1.0000
2,2,4,3,2,0.8,2.40,3.840000,3.840000,3.840000,1.6000,1.0000,1.0000
2,2,4,3,2,0.9,2.70,3.960000,3.960000,3.960000,1.4667,1.0000,1.0000
3,2,9,8,2,0.1,0.80,2.021674,2.023182,2.033487,2.5271,1.0007,1.0058
3,2,9,8,2,0.2,1.60,3.436895,3.450711,3.514688,2.1481,1.0040,1.0226
3,2,9,8,2,0.3,2.40,4.438412,4.486170,4.649283,1.8493,1.0108,1.0475
3,2,9,8,2,0.4,3.20,5.180191,5.288878,5.571072,1.6188,1.0210,1.0755
3,2,9,8,2,0.5,4.00,5.781250,5.968750,6.359375,1.4453,1.0324,1.1000
3,2,9,8,2,0.6,4.80,6.330309,6.590477,7.054272,1.3188,1.0411,1.1144
3,2,9,8,2,0.7,5.60,6.892047,7.194902,7.669683,1.2307,1.0439,1.1128
3,2,9,8,2,0.8,6.40,7.512556,7.797146,8.204288,1.1738,1.0379,1.0921
3,2,9,8,2,0.9,7.20,8.218340,8.399365,8.650287,1.1414,1.0220,1.0526
4,2,16,15,4,0.1,1.50,4.606038,4.613414,,3.0707,1.0016,
4,2,16,15,4,0.2,3.00,7.007778,7.061776,,2.3359,1.0077,
4,2,16,15,4,0.3,4.50,8.519096,8.665991,,1.8931,1.0172,
4,2,16,15,4,0.4,6.00,9.729021,9.977718,,1.6215,1.0256,
4,2,16,15,4,0.5,7.50,10.846863,11.174805,,1.4462,1.0302,
4,2,16,15,4,0.6,9.00,11.944033,12.300218,,1.3271,1.0298,
4,2,16,15,4,0.7,10.50,13.066465,13.372392,,1.2444,1.0234,
4,2,16,15,4,0.8,12.00,14.231814,14.417270,,1.1860,1.0130,
4,2,16,15,4,0.9,13.50,15.348897,15.408726,,1.1370,1.0039,
2,3,8,7,3,0.1,0.70,2.065600,2.065778,2.074078,2.9509,1.0001,1.0041
2,3,8,7,3,0.2,1.40,3.561574,3.564032,3.618432,2.5440,1.0007,1.0160
2,3,8,7,3,0.3,2.10,4.629163,4.639482,4.787982,2.2044,1.0022,1.0343
2,3,8,7,3,0.4,2.80,5.398323,5.424128,5.705728,1.9280,1.0048,1.0569
2,3,8,7,3,0.5,3.50,5.984375,6.031250,6.468750,1.7098,1.0078,1.0809
2,3,8,7,3,0.6,4.20,6.481613,6.547968,7.031808,1.5432,1.0102,1.0849
2,3,8,7,3,0.7,4.90,6.952891,7.026362,7.458542,1.4190,1.0106,1.0727
2,3,8,7,3,0.8,5.60,7.414170,7.473152,7.759872,1.3240,1.0080,1.0466
2,3,8,7,3,0.9,6.30,7.813006,7.837938,7.939998,1.2402,1.0032,1.0163
