m,r,n=m^r,nc,diam,prob,E[k],E[OPT_post],E[OPT_post]/E[k],Lemma4.1_bound,E[OPT_ad],adapt/apost
2,2,4,3,2,0.2,0.60,1.440000,2.4000,1.20,1.440000,1.0000
2,2,4,3,2,0.3,0.90,2.040000,2.2667,1.80,2.040000,1.0000
2,2,4,3,2,0.4,1.20,2.560000,2.1333,2.40,2.560000,1.0000
2,2,4,3,2,0.5,1.50,3.000000,2.0000,3.00,3.000000,1.0000
2,2,4,3,2,0.6,1.80,3.360000,1.8667,3.60,3.360000,1.0000
2,2,4,3,2,0.7,2.10,3.640000,1.7333,4.20,3.640000,1.0000
2,2,4,3,2,0.8,2.40,3.840000,1.6000,4.80,3.840000,1.0000
2,2,4,3,2,0.9,2.70,3.960000,1.4667,5.40,3.960000,1.0000
3,2,9,8,2,0.1,0.80,2.021674,2.5271,1.60,2.023182,1.0007
3,2,9,8,2,0.2,1.60,3.436895,2.1481,3.20,3.450711,1.0040
3,2,9,8,2,0.3,2.40,4.438412,1.8493,4.80,4.486170,1.0108
3,2,9,8,2,0.4,3.20,5.180191,1.6188,6.40,5.288878,1.0210
3,2,9,8,2,0.5,4.00,5.781250,1.4453,8.00,5.968750,1.0324
3,2,9,8,2,0.6,4.80,6.330309,1.3188,9.60,6.590477,1.0411
3,2,9,8,2,0.7,5.60,6.892047,1.2307,11.20,7.194902,1.0439
3,2,9,8,2,0.8,6.40,7.512556,1.1738,12.80,7.797146,1.0379
3,2,9,8,2,0.9,7.20,8.218340,1.1414,14.40,8.399365,1.0220
4,2,16,15,4,0.1,1.50,4.606038,3.0707,6.00,4.613414,1.0016
4,2,16,15,4,0.2,3.00,7.007778,2.3359,12.00,7.061776,1.0077
4,2,16,15,4,0.3,4.50,8.519096,1.8931,18.00,8.665991,1.0172
4,2,16,15,4,0.4,6.00,9.729021,1.6215,24.00,9.977718,1.0256
4,2,16,15,4,0.5,7.50,10.846863,1.4462,30.00,11.174805,1.0302
4,2,16,15,4,0.6,9.00,11.944033,1.3271,36.00,12.300218,1.0298
4,2,16,15,4,0.7,10.50,13.066465,1.2444,42.00,13.372392,1.0234
4,2,16,15,4,0.8,12.00,14.231814,1.1860,48.00,14.417270,1.0130
4,2,16,15,4,0.9,13.50,15.348897,1.1370,54.00,15.408726,1.0039
2,3,8,7,3,0.1,0.70,2.065600,2.9509,2.10,2.065778,1.0001
2,3,8,7,3,0.2,1.40,3.561574,2.5440,4.20,3.564032,1.0007
2,3,8,7,3,0.3,2.10,4.629163,2.2044,6.30,4.639482,1.0022
2,3,8,7,3,0.4,2.80,5.398323,1.9280,8.40,5.424128,1.0048
2,3,8,7,3,0.5,3.50,5.984375,1.7098,10.50,6.031250,1.0078
2,3,8,7,3,0.6,4.20,6.481613,1.5432,12.60,6.547968,1.0102
2,3,8,7,3,0.7,4.90,6.952891,1.4190,14.70,7.026362,1.0106
2,3,8,7,3,0.8,5.60,7.414170,1.3240,16.80,7.473152,1.0080
2,3,8,7,3,0.9,6.30,7.813006,1.2402,18.90,7.837938,1.0032
